Total Slots,Your Slot,Number of Booked Slots Before Your Slot,Number of Empty Slots Before Your Slot,Average Consulting Time,Appointment Start Time,Optimal Consultation Time
10,8,5,2,20,18:00,19:40
12,9,6,3,25,09:00,11:30
15,10,7,4,15,14:00,15:55
8,5,3,1,30,12:00,13:30
10,7,4,2,22,13:00,14:48
11,6,3,2,18,08:00,09:36
14,8,5,3,20,10:00,11:40
9,4,2,1,25,15:00,16:15
13,11,7,2,30,11:00,13:30
10,6,5,1,20,16:00,17:20
12,10,7,2,22,08:00,10:44
8,3,1,1,35,17:00,18:05
15,12,9,3,25,19:00,22:25
10,9,6,1,18,14:00,15:18
12,8,4,3,20,13:00,14:40
11,7,5,1,30,16:00,18:00
9,5,3,2,22,12:00,13:50
10,4,2,2,25,10:00,11:20
14,12,9,2,20,15:00,17:00
8,6,4,1,18,09:00,10:42
13,10,6,2,30,20:00,23:00
12,7,4,2,25,11:00,12:50
15,14,10,3,22,13:00,16:36
10,2,1,1,35,08:00,08:35
8,7,4,2,30,14:00,16:00
11,5,2,2,20,09:00,10:00
10,8,5,2,18,16:00,17:40
12,9,6,3,25,11:00,13:10
14,11,8,3,22,20:00,23:10
10,5,3,2,20,12:00,13:40
8,4,2,1,30,13:00,14:30
12,6,3,3,25,10:00,11:50
15,7,4,4,18,15:00,16:52
10,9,7,2,22,14:00,16:04
8,3,2,2,30,18:00,19:00
12,11,9,2,20,19:00,21:00
15,13,10,2,25,12:00,15:10
